date,time,latitude,longitude,crime_type,severity,location_name
2025-09-09,11:36,12.963231,77.580584,vandalism,low,Chickpet
2025-09-09,14:09,12.915967,77.635702,theft,low,Hosur Road
2025-09-09,16:21,12.849178,77.659439,theft,medium,Electronic City
2025-09-09,17:11,12.925991,77.585188,theft,low,Jayanagar
2025-09-09,17:14,12.934065,77.626666,theft,medium,Koramangala
2025-09-10,10:04,12.911262,77.638027,robbery,medium,Hosur Road
2025-09-10,19:29,12.962891,77.693086,eve-teasing,medium,Marathahalli
2025-09-10,22:19,12.974293,77.530806,snatching,high,Vijayanagar
2025-09-12,05:55,12.980191,77.611136,theft,low,Commercial Street
2025-09-12,07:09,12.975257,77.614865,assault,high,MG Road
2025-09-12,08:58,12.969017,77.753119,snatching,high,Whitefield
2025-09-12,09:48,12.968621,77.533097,burglary,low,Vijayanagar
2025-09-12,10:49,12.923544,77.677859,burglary,high,Bellandur
2025-09-12,17:53,12.975262,77.641232,theft,medium,Indiranagar
2025-09-12,22:31,12.979416,77.571365,theft,medium,Majestic
2025-09-13,14:08,13.096929,77.596843,fraud,low,Yelahanka
2025-09-13,14:33,12.965954,77.754598,snatching,high,Whitefield
2025-09-13,17:01,12.978014,77.605457,eve-teasing,medium,Brigade Road
2025-09-13,19:14,12.928563,77.679198,theft,low,Bellandur
2025-09-13,19:40,12.959916,77.701169,theft,medium,Marathahalli
2025-09-14,13:40,12.968677,77.581315,fraud,medium,Chickpet
2025-09-14,16:55,12.938359,77.623551,fraud,low,Koramangala
2025-09-14,19:54,12.976983,77.616693,eve-teasing,medium,MG Road
2025-09-14,20:36,12.938608,77.628974,theft,medium,Koramangala
2025-09-15,05:01,12.92497,77.544138,theft,low,Banashankari
2025-09-15,17:17,12.971214,77.64033,vandalism,high,Indiranagar
2025-09-15,21:01,12.976232,77.612348,snatching,low,Brigade Road
2025-09-15,21:57,12.911968,77.612701,burglary,low,BTM Layout
2025-09-16,06:02,12.91233,77.64562,burglary,high,HSR Layout
2025-09-16,07:28,12.915788,77.649035,theft,low,HSR Layout
2025-09-16,08:48,12.981241,77.57148,fraud,medium,Majestic
2025-09-16,14:34,12.921241,77.612272,eve-teasing,low,BTM Layout
2025-09-16,16:42,12.966143,77.575078,burglary,high,Chickpet
2025-09-16,20:51,12.975839,77.637709,eve-teasing,low,Indiranagar
2025-09-16,21:09,12.910537,77.635997,snatching,high,Hosur Road
2025-09-16,21:16,12.975403,77.609771,robbery,low,MG Road
2025-09-17,05:21,12.90945,77.583824,snatching,low,JP Nagar
2025-09-17,07:41,13.03021,77.535268,assault,low,Yeshwanthpur
2025-09-17,11:06,12.978707,77.611035,snatching,high,Commercial Street
2025-09-17,12:24,12.911314,77.638345,snatching,medium,Hosur Road
2025-09-17,12:25,12.9955,77.551737,vandalism,low,Rajaji Nagar
2025-09-17,15:42,12.957237,77.701664,snatching,high,Marathahalli
2025-09-17,16:12,12.981345,77.576396,snatching,high,Majestic
2025-09-17,16:35,12.842703,77.663537,robbery,high,Electronic City
2025-09-17,17:10,12.987642,77.557812,theft,medium,Rajajinagar
2025-09-17,19:01,12.916796,77.642741,robbery,high,Hosur Road
2025-09-17,21:23,12.929989,77.548636,burglary,medium,Banashankari
2025-09-18,10:04,13.097636,77.593295,theft,low,Yelahanka
2025-09-18,11:29,13.026562,77.53515,snatching,medium,Yeshwanthpur
2025-09-18,12:04,12.937396,77.629104,theft,medium,Koramangala
2025-09-18,13:53,12.984869,77.597067,theft,high,Shivajinagar
2025-09-18,17:54,12.975986,77.636507,snatching,medium,Indiranagar
2025-09-18,18:22,13.027416,77.540326,snatching,low,Yeshwanthpur
2025-09-18,19:35,12.985855,77.605298,fraud,medium,Shivajinagar
2025-09-19,09:58,12.91072,77.638398,theft,high,Hosur Road
2025-09-19,19:56,12.910834,77.640707,snatching,high,HSR Layout
2025-09-19,20:33,12.968736,77.750523,theft,medium,Whitefield
2025-09-19,21:41,12.986328,77.602027,burglary,high,Shivajinagar
2025-09-19,22:49,12.905116,77.582084,theft,medium,JP Nagar
2025-09-20,02:48,12.924829,77.583029,assault,high,Jayanagar
2025-09-20,07:08,12.904056,77.580477,theft,medium,JP Nagar
2025-09-20,09:49,12.990446,77.604342,burglary,high,Shivajinagar
2025-09-20,10:45,12.989503,77.598665,burglary,high,Shivajinagar
2025-09-20,12:16,13.004882,77.575044,snatching,medium,Malleshwaram
2025-09-20,16:39,13.02311,77.540406,theft,low,Yeshwanthpur
2025-09-20,20:52,12.996314,77.559435,burglary,high,Rajaji Nagar
2025-09-20,21:24,12.937983,77.628783,robbery,high,Koramangala
2025-09-21,06:18,12.992486,77.559515,snatching,medium,Rajaji Nagar
2025-09-21,10:32,12.971657,77.525983,theft,medium,Vijayanagar
2025-09-21,10:52,12.924065,77.676473,robbery,medium,Bellandur
2025-09-21,17:13,12.92145,77.674003,theft,medium,Bellandur
2025-09-21,18:01,12.924258,77.54631,theft,medium,Banashankari
2025-09-21,18:14,12.987891,77.602342,robbery,high,Shivajinagar
2025-09-21,20:33,12.992359,77.557161,robbery,medium,Rajajinagar
2025-09-22,03:23,12.90813,77.582522,theft,medium,JP Nagar
2025-09-22,06:35,13.100279,77.596999,vandalism,high,Yelahanka
2025-09-22,17:45,12.91142,77.649093,burglary,high,HSR Layout
2025-09-22,18:13,13.009042,77.571296,theft,high,Malleshwaram
2025-09-22,22:46,12.849586,77.664278,burglary,high,Electronic City
2025-09-23,05:08,12.9779,77.609557,vandalism,medium,Commercial Street
2025-09-23,05:45,12.963585,77.568604,theft,high,KR Market
2025-09-23,07:10,12.970057,77.575102,assault,medium,Chickpet
2025-09-23,09:57,12.969936,77.611181,assault,medium,Brigade Road
2025-09-23,12:07,12.963287,77.570134,robbery,medium,KR Market
2025-09-23,14:20,12.909851,77.643028,theft,high,HSR Layout
2025-09-23,18:24,13.024668,77.535099,robbery,medium,Yeshwanthpur
2025-09-23,19:18,13.030733,77.541506,theft,low,Yeshwanthpur
2025-09-23,19:28,12.894645,77.604777,vandalism,medium,Bannerghatta Road
2025-09-24,04:14,12.919713,77.611333,theft,medium,BTM Layout
2025-09-24,06:39,12.918769,77.634494,vandalism,low,Hosur Road
2025-09-24,06:57,13.000654,77.577391,vandalism,low,Malleshwaram
2025-09-24,10:07,12.924888,77.582448,snatching,medium,Jayanagar
2025-09-24,13:13,12.981718,77.608376,snatching,high,Commercial Street
2025-09-24,18:17,12.981404,77.57559,vandalism,low,Majestic
2025-09-24,18:21,12.976503,77.5676,assault,medium,Majestic
2025-09-24,19:47,12.97486,77.531387,vandalism,low,Vijayanagar
2025-09-25,01:13,12.924933,77.55204,assault,medium,Banashankari
2025-09-25,12:20,12.89307,77.607386,theft,high,Bannerghatta Road
2025-09-25,14:51,12.905558,77.584296,robbery,low,JP Nagar
2025-09-25,21:52,12.964406,77.574104,vandalism,medium,KR Market
2025-09-26,08:34,12.91259,77.641244,theft,low,Hosur Road
2025-09-26,10:05,13.004995,77.575771,theft,low,Malleshwaram
2025-09-26,10:34,12.956203,77.695361,snatching,low,Marathahalli
2025-09-26,12:57,12.977944,77.606215,snatching,high,Brigade Road
2025-09-26,14:38,12.95841,77.700635,theft,medium,Marathahalli
2025-09-26,15:10,12.957434,77.568658,theft,medium,KR Market
2025-09-27,10:06,13.031639,77.537051,assault,medium,Yeshwanthpur
2025-09-27,10:44,12.974188,77.605783,burglary,low,Brigade Road
2025-09-27,16:30,12.893533,77.603134,theft,low,Bannerghatta Road
2025-09-27,17:58,12.968119,77.748854,vandalism,medium,Whitefield
2025-09-27,20:05,12.98207,77.607133,burglary,medium,Commercial Street
2025-09-28,09:07,12.974149,77.611403,theft,low,Brigade Road
2025-09-28,12:10,12.977376,77.568688,burglary,low,Majestic
2025-09-28,22:09,13.032573,77.53584,burglary,high,Yeshwanthpur
2025-09-29,09:27,12.968014,77.643747,eve-teasing,medium,Indiranagar
2025-09-29,17:58,12.971587,77.642135,fraud,medium,Indiranagar
2025-09-29,19:53,12.890658,77.608917,robbery,medium,Bannerghatta Road
2025-09-29,21:37,12.921786,77.549631,theft,high,Banashankari
2025-09-30,09:28,12.911108,77.645751,snatching,medium,HSR Layout
2025-09-30,12:55,12.962966,77.574189,snatching,low,KR Market
2025-09-30,19:02,12.968224,77.581143,burglary,high,Chickpet
2025-09-30,19:15,12.889923,77.603622,burglary,high,Bannerghatta Road
2025-10-01,02:47,12.967059,77.642877,theft,medium,Indiranagar
2025-10-01,08:09,12.904343,77.59007,burglary,medium,JP Nagar
2025-10-01,08:52,12.98393,77.601961,snatching,high,Shivajinagar
2025-10-01,09:05,12.982138,77.606164,robbery,high,Commercial Street
2025-10-01,09:37,12.981408,77.573255,theft,medium,Majestic
2025-10-01,09:44,12.985999,77.612648,snatching,low,Commercial Street
2025-10-01,09:57,12.917213,77.61137,burglary,high,BTM Layout
2025-10-01,17:44,12.915992,77.642294,theft,low,HSR Layout
2025-10-01,20:28,12.957028,77.575111,burglary,medium,KR Market
2025-10-01,22:54,12.911326,77.640147,theft,low,Hosur Road
2025-10-01,22:58,12.965913,77.578923,theft,low,Chickpet
2025-10-02,10:40,12.972191,77.610737,assault,high,MG Road
2025-10-02,14:09,12.985682,77.600149,theft,medium,Shivajinagar
2025-10-02,16:14,12.970611,77.575114,burglary,low,Chickpet
2025-10-02,17:27,12.917865,77.639333,burglary,high,Hosur Road
2025-10-02,19:22,12.962945,77.56887,theft,medium,KR Market
2025-10-02,21:11,12.980683,77.57077,fraud,medium,Majestic
2025-10-03,06:30,12.986774,77.558559,theft,medium,Rajajinagar
2025-10-03,10:34,12.849963,77.660969,snatching,high,Electronic City
2025-10-03,10:49,12.994952,77.554399,snatching,medium,Rajaji Nagar
